epochs,val_loss,val_acc,loss,acc,config
61,4.733292282819748,0.09,3.5712372446995904,0.16599919893441317,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
62,5.085054244995117,0.05,3.399133574962616,0.1912000010535121,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
63,5.1570022040605545,0.06,3.4846101846989033,0.17741289558347864,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
64,4.955184606313705,0.04,3.41763667345047,0.18759999893605708,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
65,5.305553907752037,0.09,3.34734239223054,0.19903884564023233,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
66,5.26767425775528,0.03,3.3716552599363436,0.19142971605116194,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
67,4.8524400019645695,0.03,3.341532256603241,0.1972000002488494,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
68,5.211337327957153,0.06,3.285793480798632,0.21766119249818514,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
69,5.1632629460096355,0.03,3.3070552206039427,0.206800000295043,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
70,5.35288818269968,0.03,3.213060242011636,0.21645975082480148,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
